mse_SI_only,rsquare_SI_only,rsquare_all_features,mae,mse,rmse,mape,mspe,rse,runs,n_samples,iterations,comment
0.0506,-0.5197,0.9911,0.19829726,0.0506171,0.22498244,2.542373,24.033392,1.23275,run6,300to400,3000,tok_embMpos_emb
0.0555,-0.6654,0.9783,0.2036952,0.055469442,0.23551951,2.65752,24.867983,1.290486,run6,200to400,3000,tok_embMpos_emb
0.0823,-1.4696,0.9896,0.25605527,0.0822556,0.28680238,3.1575832,30.430761,1.5714811,run6,100to400,3000,tok_embMpos_emb
0.0414,-0.2432,0.9885,0.17939593,0.041406855,0.20348674,2.4178333,23.45432,1.1149683,run6,000to400,3000,tok_embMpos_emb
0.0277,-1.6699,0.9924,0.1388694,0.02771849,0.1664887,110.02719,218820.16,1.6339762,run1,300to400,3000,tok_embMpos_emb
0.0293,-1.8203,0.9949,0.12711412,0.029280635,0.17111585,135.98976,331561.16,1.6793888,run1,200to400,3000,tok_embMpos_emb
0.0238,-1.2928,0.994,0.118503034,0.02380405,0.15428561,41.8843,29043.54,1.5142109,run1,100to400,3000,tok_embMpos_emb
0.0392,-2.7741,0.9916,0.17054613,0.039182823,0.19794652,241.32915,1074112.9,1.9427137,run1,000to400,3000,tok_embMpos_emb
0.0509,-0.6529,0.9664,0.17136481,0.05089517,0.22559957,2.1389782,6.920996,1.2856624,run2,300to400,3000,tok_embMpos_emb
0.034,-0.1036,0.9865,0.13394322,0.033979725,0.1843359,1.6579722,4.947155,1.050506,run2,200to400,3000,tok_embMpos_emb
0.0446,-0.4481,0.9839,0.1570962,0.044587526,0.21115759,2.391738,21.395452,1.2033594,run2,100to400,3000,tok_embMpos_emb
0.0688,-1.2353,0.9877,0.20546243,0.06882576,0.26234663,3.1197135,23.344143,1.495079,run2,000to400,3000,tok_embMpos_emb
0.0338,-0.5639,0.9907,0.14739706,0.03376582,0.18375477,2.2941997,9.271484,1.2505519,run3,300to400,3000,tok_embMpos_emb
0.0283,-0.3093,0.9946,0.1440469,0.028268695,0.16813296,3.8404083,99.94192,1.1442369,run3,200to400,3000,tok_embMpos_emb
0.0421,-0.9518,0.9933,0.16590053,0.042142496,0.20528637,1.9880196,8.326352,1.3970863,run3,100to400,3000,tok_embMpos_emb
0.0459,-1.1281,0.9515,0.17288916,0.045947853,0.2143545,2.3202033,11.556333,1.4587998,run3,000to400,3000,tok_embMpos_emb
0.0659,-0.3462,0.9871,0.19659382,0.06594804,0.2568035,69.221794,86571.95,1.1602434,run4,300to400,3000,tok_embMpos_emb
0.0783,-0.5974,0.99,0.23600586,0.07825351,0.27973828,71.028015,86605.086,1.2638633,run4,200to400,3000,tok_embMpos_emb
0.0771,-0.5745,0.9946,0.2332843,0.077133186,0.27772862,70.6609,86587.99,1.2547836,run4,100to400,3000,tok_embMpos_emb
0.0929,-0.8955,0.9967,0.2489625,0.09285732,0.304725,70.695915,86592.38,1.3767538,run4,000to400,3000,tok_embMpos_emb
0.0572,-1.8376,0.9861,0.18741079,0.057219587,0.23920617,60.07618,63126.953,1.6845084,run5,300to400,3000,tok_embMpos_emb
0.0502,-1.4897,0.97,0.1611525,0.050204724,0.22406411,7.828785,690.5258,1.5778768,run5,200to400,3000,tok_embMpos_emb
0.0802,-2.9766,0.9287,0.23064339,0.0801874,0.2831738,28.293167,12311.437,1.9941319,run5,100to400,3000,tok_embMpos_emb
0.0759,-2.7621,0.9308,0.21858251,0.07586356,0.27543342,23.143713,8059.6934,1.9396236,run5,000to400,3000,tok_embMpos_emb
0.0402,-4.6421,0.9847,0.13826765,0.04022615,0.20056458,3.4863029,29.89124,2.375314,run6,300to400,3000,tok_embMpos_emb
0.0319,-3.4812,0.9548,0.12835291,0.031948924,0.17874262,4.1542897,78.55297,2.1168737,run6,200to400,3000,tok_embMpos_emb
0.0381,-4.3441,0.9565,0.1541189,0.038101383,0.19519575,3.4645836,35.090862,2.3117301,run6,100to400,3000,tok_embMpos_emb
0.0131,-0.8369,0.9646,0.09899542,0.013096071,0.114438064,3.050478,24.94361,1.3553059,run6,000to400,3000,tok_embMpos_emb
0.1291,-0.1759,0.93,0.2936758,0.12907623,0.3592718,1.92366,9.355161,1.0844067,run1,300to400,3000,tok_embMpos_emb
0.1252,-0.1405,0.9242,0.2910381,0.12518457,0.3538143,1.5865208,4.229331,1.067934,run1,200to400,3000,tok_embMpos_emb
0.1445,-0.3161,0.9217,0.29851773,0.14445744,0.38007557,1.6655742,4.6473937,1.1471996,run1,100to400,3000,tok_embMpos_emb
0.1632,-0.4868,0.9041,0.3386422,0.16320041,0.4039807,2.1537147,8.07735,1.2193536,run1,000to400,3000,tok_embMpos_emb
0.0406,-0.5689,0.9566,0.1618586,0.04063731,0.20158698,2.071409,11.081591,1.2525737,run2,300to400,3000,tok_embMpos_emb
0.0447,-0.7268,0.9608,0.16392119,0.044727176,0.21148801,2.2150016,13.448128,1.3140944,run2,200to400,3000,tok_embMpos_emb
0.0579,-1.2339,0.9396,0.19508523,0.05786057,0.24054223,2.4661112,13.5792465,1.4946249,run2,100to400,3000,tok_embMpos_emb
0.06,-1.3159,0.9698,0.20869984,0.059984628,0.2449176,2.8012817,17.26697,1.5218114,run2,000to400,3000,tok_embMpos_emb
0.1192,-0.8913,0.949,0.2530079,0.11920069,0.34525454,2.798112,31.474205,1.3752339,run3,300to400,3000,tok_embMpos_emb
0.1146,-0.8175,0.9714,0.24723805,0.11455265,0.33845627,7.535059,664.9771,1.3481548,run3,200to400,3000,tok_embMpos_emb
0.115,-0.8244,0.9645,0.25566036,0.11498398,0.33909288,4.254069,137.7163,1.3506905,run3,100to400,3000,tok_embMpos_emb
0.1542,-1.4467,0.9261,0.3012997,0.15421079,0.39269683,2.3011763,11.8982115,1.5642081,run3,000to400,3000,tok_embMpos_emb
0.0436,-0.2337,0.9907,0.16408779,0.04356794,0.20872934,1.0804859,1.5439538,1.1107028,run4,300to400,3000,tok_embMpos_emb
0.0507,-0.4367,0.936,0.15957534,0.050737552,0.22524998,1.0490954,1.7721809,1.1986133,run4,200to400,3000,tok_embMpos_emb
0.0417,-0.1797,0.9392,0.16147596,0.04166351,0.2041164,1.1284155,1.7011323,1.0861561,run4,100to400,3000,tok_embMpos_emb
0.058,-0.6436,0.9289,0.1564279,0.058043946,0.2409231,0.9402736,1.622529,1.282014,run4,000to400,3000,tok_embMpos_emb
0.0984,-1.9898,0.9662,0.25202307,0.09841433,0.3137106,3.3051717,36.99466,1.7290976,run5,300to400,3000,tok_embMpos_emb
0.0561,-0.7032,0.9829,0.16829306,0.056063045,0.23677637,2.0667107,11.979444,1.3050547,run5,200to400,3000,tok_embMpos_emb
0.0491,-0.4905,0.9792,0.14383733,0.049061187,0.2214976,1.6650279,8.914377,1.2208418,run5,100to400,3000,tok_embMpos_emb
0.0616,-0.8712,0.981,0.18583098,0.06159399,0.24818137,2.8692157,37.09719,1.3679162,run5,000to400,3000,tok_embMpos_emb
0.0233,-0.6084,0.9923,0.11572996,0.023345038,0.15279083,1.4198545,3.643319,1.2682219,run6,300to400,3000,tok_embMpos_emb
0.0203,-0.4009,0.9977,0.11910613,0.020334184,0.14259799,1.308591,2.3479967,1.1836172,run6,200to400,3000,tok_embMpos_emb
0.0447,-2.078,0.9949,0.17989726,0.044675898,0.21136674,2.282768,8.721723,1.754424,run6,100to400,3000,tok_embMpos_emb
0.0316,-1.1756,0.9924,0.15408516,0.031577405,0.17770033,1.9311749,5.5388656,1.47498,run6,000to400,3000,tok_embMpos_emb
0.0334,-0.3186,0.9901,0.14742433,0.03337227,0.18268079,6.5832624,285.37543,1.1482985,run1,300to400,3000,tok_embMpos_emb
0.075,-1.9647,0.809,0.20631495,0.07503313,0.27392176,34.22008,12279.104,1.7218226,run1,200to400,3000,tok_embMpos_emb
0.0452,-0.7848,0.9949,0.17251389,0.04517175,0.21253647,4.46751,119.97825,1.3359659,run1,100to400,3000,tok_embMpos_emb
0.046,-0.8193,0.9889,0.17036603,0.04604502,0.21458103,4.096815,87.045296,1.3488176,run1,000to400,3000,tok_embMpos_emb
0.0447,-0.6653,-0.0459,0.16770427,0.0446637,0.21133788,2.2695844,17.92177,1.2904774,run2,300to400,3000,tok_embMpos_emb
0.0744,-1.7736,0.0643,0.22000603,0.074386574,0.27273902,2.5044882,12.935909,1.6654066,run2,200to400,3000,tok_embMpos_emb
0.0412,-0.5351,0.0905,0.15670967,0.041170865,0.20290606,1.738279,5.6813736,1.2389905,run2,100to400,3000,tok_embMpos_emb
0.0453,-0.6897,-0.0747,0.17786995,0.045317203,0.21287838,2.204587,10.068742,1.299884,run2,000to400,3000,tok_embMpos_emb
0.0472,-1.4052,0.9707,0.1886532,0.04723912,0.21734563,2.6766605,15.027782,1.5508741,run3,300to400,3000,tok_embMpos_emb
0.0684,-2.4802,0.989,0.22186312,0.06835156,0.26144132,5.0040145,93.99131,1.8655196,run3,200to400,3000,tok_embMpos_emb
0.0341,-0.7382,0.9965,0.156673,0.034139313,0.18476827,2.2878973,10.716302,1.3184178,run3,100to400,3000,tok_embMpos_emb
0.0387,-0.9705,0.9878,0.1699671,0.03870152,0.19672702,2.4227312,11.557565,1.4037496,run3,000to400,3000,tok_embMpos_emb
0.1022,-1.0941,0.9926,0.21028152,0.10216892,0.31963873,6.8095407,459.31506,1.4471142,run4,300to400,3000,tok_embMpos_emb
0.0953,-0.9538,0.9545,0.18717974,0.09531983,0.3087391,4.083243,151.13226,1.3977679,run4,200to400,3000,tok_embMpos_emb
0.1241,-1.5445,0.9481,0.24424846,0.124140516,0.3523358,11.960369,2038.421,1.5951452,run4,100to400,3000,tok_embMpos_emb
0.1228,-1.5171,0.9843,0.25181088,0.12280286,0.3504324,3.3169827,45.377064,1.5865277,run4,000to400,3000,tok_embMpos_emb
0.0907,-0.3017,0.9809,0.24893169,0.090677984,0.30112785,3.61052,80.4664,1.1409165,run5,300to400,3000,tok_embMpos_emb
0.1008,-0.4471,0.9028,0.24694574,0.100807406,0.3175018,3.3142529,77.96287,1.2029544,run5,200to400,3000,tok_embMpos_emb
0.0907,-0.3022,0.9936,0.23536451,0.0907101,0.30118117,1.4487131,3.1885002,1.1411185,run5,100to400,3000,tok_embMpos_emb
0.0781,-0.1207,0.9931,0.21942616,0.07807056,0.2794111,2.220787,16.488468,1.0586358,run5,000to400,3000,tok_embMpos_emb
0.0325,-0.7849,0.9978,0.15039116,0.032549676,0.18041529,6.0327516,226.54056,1.3359978,run6,300to400,3000,tok_embMpos_emb
0.0413,-1.2625,0.999,0.17419146,0.04125887,0.2031228,5.251909,87.28555,1.5041498,run6,200to400,3000,tok_embMpos_emb
0.036,-0.9744,0.9875,0.15722,0.036005054,0.18974997,8.638841,503.5016,1.4051224,run6,100to400,3000,tok_embMpos_emb
0.0415,-1.2763,0.9981,0.180776,0.041511837,0.20374455,7.669888,275.39975,1.5087539,run6,000to400,3000,tok_embMpos_emb
