metric_mse_loss_SI_only,0.17782339453697205,,300to400,600,None
metric_mse_loss_SI_only,0.19476382434368134,,300to400,600,None
mse_SI_only,0.0285,rsquare_SI_only,-0.4093,rsquare_all_features,0.9457,mae_mse_rmse_mape_mspe_rse,0.14206241, 0.028481456, 0.1687645, 1.6448139, 3.7523992, 1.1871243,run6,100to400,50,None
mse_SI_only,0.0309,rsquare_SI_only,-0.5301,rsquare_all_features,0.9828,mae_mse_rmse_mape_mspe_rse,0.1472821, 0.03092299, 0.17584933, 1.7822218, 5.979461, 1.2369603,run6,000to400,50,None
mse_SI_only,0.0279,rsquare_SI_only,-0.2071,rsquare_all_features,0.9655,mae_mse_rmse_mape_mspe_rse,0.12695062, 0.02789721, 0.16702458, 1.9302485, 9.719225, 1.0986729,run1,300to400,1000,None
mse_SI_only,0.0344,rsquare_SI_only,-0.4901,rsquare_all_features,0.9569,mae_mse_rmse_mape_mspe_rse,0.15488935, 0.034437656, 0.18557386, 2.6190832, 15.800121, 1.2206885,run1,200to400,1000,None
mse_SI_only,0.0331,rsquare_SI_only,-0.4315,rsquare_all_features,0.9807,mae_mse_rmse_mape_mspe_rse,0.15177917, 0.033083364, 0.18188833, 2.4410372, 12.005066, 1.1964455,run1,100to400,1000,None
mse_SI_only,0.0422,rsquare_SI_only,-0.8251,rsquare_all_features,0.9788,mae_mse_rmse_mape_mspe_rse,0.16628985, 0.042180467, 0.20537885, 3.0267684, 22.060966, 1.350964,run1,000to400,1000,None
mse_SI_only,0.1602,rsquare_SI_only,0.0225,rsquare_all_features,0.7773,mae_mse_rmse_mape_mspe_rse,0.23950936, 0.16023684, 0.40029594, 1.7012409, 7.5985107, 0.9887046,run2,300to400,1000,None
mse_SI_only,0.1671,rsquare_SI_only,-0.0194,rsquare_all_features,0.4276,mae_mse_rmse_mape_mspe_rse,0.24807042, 0.1670988, 0.4087772, 1.6614246, 7.3046536, 1.0096527,run2,200to400,1000,None
mse_SI_only,0.1647,rsquare_SI_only,-0.0045,rsquare_all_features,0.6528,mae_mse_rmse_mape_mspe_rse,0.26103663, 0.16465703, 0.40577954, 1.7867684, 8.165196, 1.0022488,run2,100to400,1000,None
mse_SI_only,0.2888,rsquare_SI_only,-0.7621,rsquare_all_features,0.7698,mae_mse_rmse_mape_mspe_rse,0.30922312, 0.28883734, 0.5374359, 2.036464, 11.078575, 1.3274312,run2,000to400,1000,None
mse_SI_only,0.0289,rsquare_SI_only,-0.3373,rsquare_all_features,0.9927,mae_mse_rmse_mape_mspe_rse,0.13867903, 0.028872842, 0.1699201, 1.5128286, 3.1700156, 1.1563994,run3,300to400,1000,None
mse_SI_only,0.0407,rsquare_SI_only,-0.8832,rsquare_all_features,0.9928,mae_mse_rmse_mape_mspe_rse,0.17132056, 0.040659722, 0.20164256, 3.4308443, 60.998592, 1.3722881,run3,200to400,1000,None
